sitemap_url,hop_count,chain,final_url,final_status,error,is_loop
https://breastcalculator.com/,1,200,https://breastcalculator.com/,200,,False
https://breastcalculator.com/tools.html,1,404,https://breastcalculator.com/tools.html,404,Not Found,False
https://breastcalculator.com/articles.html,0,,https://breastcalculator.com/articles.html,-1,Exceeded 0 redirects.,True
https://breastcalculator.com/specials.html,0,,https://breastcalculator.com/specials.html,-1,Exceeded 0 redirects.,True
https://breastcalculator.com/wellness.html,0,,https://breastcalculator.com/wellness.html,-1,Exceeded 0 redirects.,True
https://breastcalculator.com/about.html,0,,https://breastcalculator.com/about.html,-1,Exceeded 0 redirects.,True
https://breastcalculator.com/privacy.html,0,,https://breastcalculator.com/privacy.html,-1,Exceeded 0 redirects.,True
https://breastcalculator.com/terms.html,0,,https://breastcalculator.com/terms.html,-1,Exceeded 0 redirects.,True
https://breastcalculator.com/bra-size-calculator.html,1,404,https://breastcalculator.com/bra-size-calculator.html,404,Not Found,False
https://breastcalculator.com/breast-expansion-calculator.html,1,404,https://breastcalculator.com/breast-expansion-calculator.html,404,Not Found,False
https://breastcalculator.com/breast-ptosis-calculator.html,1,404,https://breastcalculator.com/breast-ptosis-calculator.html,404,Not Found,False
https://breastcalculator.com/breast-volume-calculator.html,1,404,https://breastcalculator.com/breast-volume-calculator.html,404,Not Found,False
https://breastcalculator.com/length-converter.html,1,404,https://breastcalculator.com/length-converter.html,404,Not Found,False
https://breastcalculator.com/es/,1,404,https://breastcalculator.com/es/,404,Not Found,False
https://breastcalculator.com/es/herramientas.html,1,404,https://breastcalculator.com/es/herramientas.html,404,Not Found,False
https://breastcalculator.com/es/articulos.html,1,404,https://breastcalculator.com/es/articulos.html,404,Not Found,False
https://breastcalculator.com/es/especiales.html,1,404,https://breastcalculator.com/es/especiales.html,404,Not Found,False
https://breastcalculator.com/es/bienestar.html,1,404,https://breastcalculator.com/es/bienestar.html,404,Not Found,False
https://breastcalculator.com/es/sobre-nosotras.html,1,404,https://breastcalculator.com/es/sobre-nosotras.html,404,Not Found,False
https://breastcalculator.com/es/politica-de-privacidad.html,1,404,https://breastcalculator.com/es/politica-de-privacidad.html,404,Not Found,False
https://breastcalculator.com/es/terminos-de-uso.html,1,404,https://breastcalculator.com/es/terminos-de-uso.html,404,Not Found,False
