url,titleLen,descLen,canonOk,h1Count,schemas,internalLinks,externalLinks,issues
/bra-size-guide/38d/,57,132,true,1,"Organization+ImageObject+ContactPoint+WebSite+SearchAction+EntryPoint+FAQPage+Question+Answer+BreadcrumbList+ListItem",129,6,OK
/bra-size-guide/38dd/,53,133,true,1,"Organization+ImageObject+ContactPoint+WebSite+SearchAction+EntryPoint+FAQPage+Question+Answer+BreadcrumbList+ListItem",129,6,OK
/bra-size-guide/40c/,57,132,true,1,"Organization+ImageObject+ContactPoint+WebSite+SearchAction+EntryPoint+FAQPage+Question+Answer+BreadcrumbList+ListItem",129,6,OK
/bra-size-guide/40d/,57,132,true,1,"Organization+ImageObject+ContactPoint+WebSite+SearchAction+EntryPoint+FAQPage+Question+Answer+BreadcrumbList+ListItem",129,6,OK
/bra-size-guide/compare/32d-vs-34c/,56,130,true,1,"Organization+ImageObject+ContactPoint+WebSite+SearchAction+EntryPoint+Article+Person+FAQPage+Question+Answer+BreadcrumbList+ListItem",126,6,OK
/bra-size-guide/compare/34b-vs-36c/,56,130,true,1,"Organization+ImageObject+ContactPoint+WebSite+SearchAction+EntryPoint+Article+Person+FAQPage+Question+Answer+BreadcrumbList+ListItem",126,6,OK
/bra-size-guide/compare/34dd-vs-36d/,57,131,true,1,"Organization+ImageObject+ContactPoint+WebSite+SearchAction+EntryPoint+Article+Person+FAQPage+Question+Answer+BreadcrumbList+ListItem",126,6,OK
/bra-size-guide/compare/36b-vs-34c/,56,130,true,1,"Organization+ImageObject+ContactPoint+WebSite+SearchAction+EntryPoint+Article+Person+FAQPage+Question+Answer+BreadcrumbList+ListItem",126,6,OK
/bra-size-guide/compare/38c-vs-40b/,56,130,true,1,"Organization+ImageObject+ContactPoint+WebSite+SearchAction+EntryPoint+Article+Person+FAQPage+Question+Answer+BreadcrumbList+ListItem",126,6,OK
/bra-size-guide/compare/b-cup-vs-c-cup/,51,127,true,1,"Organization+ImageObject+ContactPoint+WebSite+SearchAction+EntryPoint+Article+Person+FAQPage+Question+Answer+BreadcrumbList+ListItem",132,6,OK
